album_id,album_type,album_name,release_date,total_tracks,track_id,track_name,Genre,Language,duration_ms,popularity,is_explicit,artist_id,artist_name,Label
77gfgPyUiI1qDwlUxAMaew,compilation,Best Pop 2022,9/14/2022,20,2DVKX1UUZcAFOiQsq5YG8v,I Like You (A Happier Song),Pop-rap,,192840,12,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
19Um3yVZtJpLtP1ryAxNXh,compilation,August 2022 Hits,7/27/2022,32,3C2GgztpWnGADCkc2f8PJ2,I Like You (A Happier Song),Pop-rap,,192840,11,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
34TMhGhBraAXql56LN0L1Z,compilation,I Like You (A Happier Song),9/23/2022,22,50sxoCH5s4BQPYBeBhA7rh,I Like You (A Happier Song),Pop-rap,,192840,9,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
1Kst9aD41T5jKOEWwJwNNG,compilation,Mega Hits Summer 2022,6/28/2022,129,7asQklKAKf1mmEFec8geNF,I Like You (A Happier Song),Pop-rap,,192840,8,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
1ZfJoIH7xVP4DvFy2roaN9,compilation,Best of 2022,10/4/2022,24,0tduttxnG0AFq7TrH80zAk,I Like You (A Happier Song),Pop-rap,,192840,9,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
3gUZ3T4WAlztuFUoE2ae9O,compilation,Donaukanal Party,6/30/2022,55,5OFTuBHzqfPF55CQ4G2Vvx,I Like You (A Happier Song),Pop-rap,,192840,4,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
51OX8AKpWwJ1KV8NeNGJtJ,compilation,Fall Hits 2022,7/12/2022,30,2r2nxXTPNZwAir9MItyZIr,I Like You (A Happier Song),Pop-rap,,192840,6,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
1D7zTZcZSq5AYODyoWNpCR,compilation,Feelgood Pop 2022,6/23/2022,60,2ezTQhR1uij1Eh3rPepJoB,I Like You (A Happier Song),Pop-rap,,192840,11,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
5mbbmfczHTgC5YCZseIITr,compilation,Zomer Hits 2022 | Hittegolf,8/22/2022,24,3Dv0ia9gUwSmKb8CLiy73V,I Like You (A Happier Song),Pop-rap,,192840,7,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
79LUwZkPsEWCTkw40GwqMY,compilation,Best Hip Hop 2022,9/16/2022,20,1rx9ddlGiPXKA3iqVm92qc,I Like You (A Happier Song),Pop-rap,,192840,8,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
3CVIexMmcnWlK1tic2dPfV,compilation,When Summer Ends,8/12/2022,12,70kOXsEmXo2DzJ8XxPp0QR,I Like You (A Happier Song),Pop-rap,,192840,5,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
2lpJyWIrAQVs8MVJZTXx1V,compilation,Car Music,6/29/2022,67,5lqlCguDpW8cKWLHks0x6l,I Like You (A Happier Song),Pop-rap,,192840,7,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
5nADvjW1bIJ8KoTxA6tbtt,compilation,Обратно в клас - pop,10/7/2022,31,1Opglli1f6hQT1sZGdEazb,I Like You (A Happier Song),Pop-rap,,192840,5,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
0hJbldcWfHQijug7QbTGlF,compilation,Rap Hits Automne 2022,9/21/2022,21,5Q3d3xXM8lQZZ6gISAUWTQ,I Like You (A Happier Song),Pop-rap,,192840,7,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
0NrACYymhXAdxYdyRxyfwA,compilation,Trending Fall Hits 2022,8/16/2022,28,7pAY9DTqIafqxPh6SZb0YK,I Like You (A Happier Song),Pop-rap,,192840,4,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
7J91CCCgudugLrM4aLZGrp,compilation,Strand + Sonne,7/25/2022,55,6wORIAYOsVh9mBGtz3pTcv,I Like You (A Happier Song),Pop-rap,,192840,14,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
3xG9AZpwaU8iu8CujXtyEx,compilation,Viral Hits: June 2022,6/28/2022,30,0OwzwsR9SyRp1LxEDUR1SZ,I Like You (A Happier Song),Pop-rap,,192840,8,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
6ZL0ANorJEaZeO2SvFN8S0,compilation,Hip Hop Gaming Music,7/18/2022,45,12UP3UuoDTbq2Zg5KQD7TK,I Like You (A Happier Song),Pop-rap,,192840,7,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
3qij4oTXmtf7c4zCq10dTB,compilation,Chill Mood,10/13/2022,20,1KWYxu0S9i174r8sYZOBud,I Like You (A Happier Song),Pop-rap,,192840,5,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
7eaJhU3GeMd3pHgXihrHXn,compilation,Hits Automne 2022,9/29/2022,22,4dAK4azHBzIhq0uL8jYwGM,I Like You (A Happier Song),Pop-rap,,192840,6,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
1IBsxDKAepIHwntAbNheFW,compilation,Summer Cool Songs,8/19/2022,32,1jQd9iNPRD6DprbuK6LPRw,I Like You (A Happier Song),Pop-rap,,192840,8,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
4Cy4tmBQm0eh18KojQVIel,compilation,Back 2 School,9/14/2022,54,2BlYNcRYw45JlqCjyrdK3c,I Like You (A Happier Song),Pop-rap,,192840,9,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
2pqy9z9mhrgyGDeFcC8EIs,compilation,Release Round Up Vol.3,9/21/2022,30,7GJYXfRXLmrR5s3kylY73K,I Like You (A Happier Song),Pop-rap,,192840,7,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
53yjGMo1JUhkPMi66itmEm,compilation,Hardcore Energy,10/13/2022,14,4q6PDil0fuzXdB0EhZrwZx,I Like You (A Happier Song),Pop-rap,,192840,2,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
47Mgjqn7leuLfQsKdTW84K,compilation,Poletni Hiti,6/30/2022,34,6xkIFpyuxJ9jVbQ6P56QSl,I Like You (A Happier Song),Pop-rap,,192840,5,TRUE,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
