album_id	album_type	album_name	release_date	total_tracks	track_id	track_name	Genre	Language	duration_ms	popularity	is_explicit	artist_id	artist_name	Label
3mcgk1r1PbS6qPMduG6SFk	compilation	New Boots - Fresh Country	8/26/2022	25	7nHSUOrIJ3o2z8US5flXlT	Pick Me Up			169440	1	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
3nadbTU5VxyVZ4gbGRyKyV	compilation	Something In the Orange - Front Porch Hits	8/5/2022	36	5T2uqiOfA3Jjhj7vNDlBri	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
35TgSXq9F5MimWqtlNctuh	compilation	Ride the Lightning - New Boots	9/2/2022	25	2CXxNqwCZtpO5Ml10HmMGZ	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
2Kxp18LdR43qTLUOWMEOaa	compilation	Pick Me Up - 20s Country	7/15/2022	30	0Gr7nZnLJ1Y9FK2uolXJgB	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
2Xb6h9Y53XgIMTQLYIzfWH	compilation	nashville autumn 2022	9/16/2022	20	5VfA531SQdCUeb5Bsy1ahq	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
0bNpyqFS5G1Ow5r0QutVhD	compilation	Seventeen - Fresh Country Hits	7/8/2022	17	6xsNB84ft4sySJKay3SwWb	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
68FV7OJUZ4phq2IJw5DTru	compilation	Good Time - Just Hits	7/1/2022	50	7AEB0K9iQdoQNPOlFZ9inZ	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
2byN2Pnwzq8XLgUoevSqJp	compilation	Raised up Right - Hot Country	7/22/2022	30	5BhZrf7fJ9tFiLghWc1FPd	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
2X28MtgfLLqLlF8OO3sfwi	compilation	Stereotype: New Boots	8/19/2022	30	5HL3oKQslS0D9zBkrLVQYs	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
0wF1zSErmNdu7bbobUpuoZ	compilation	Country 2022	7/22/2022	24	2KxsfIamRzxu6GzitgLcU1	Pick Me Up			169440	2	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
5VPMD6AzElO4R605n8Otxq	compilation	Country Right Now	10/1/2022	30	4lEA9Vcd1e2UX7KM7YpgSt	Pick Me Up			169440	0	FALSE	6Iz3eq2aQGFf7TbGT2iahL	Gabby Barrett	
6RVASKYeyPoQCjExSbmpzp	single	Last Night Lonely	2/17/2022	1	3SeeaIXnrCfT88vHVCRWHl	Last Night Lonely	Country		181990	73	FALSE	4MoAOfV4ROWofLG3a3hhBN	Jon Pardi	Capitol Nashville
2QriWWJQt8g8XXoC1ATDPa	album	Mr. Saturday Night	9/2/2022	14	0k11c8vwyeNSGQex6UMa1v	Last Night Lonely	Country		182161	66	FALSE	4MoAOfV4ROWofLG3a3hhBN	Jon Pardi	Capitol Nashville
5cOcIJ0VmP65jq1Sa9PrJF	compilation	Country Barbecue	7/19/2022	50	1ts9qt89lOJ7Y3QVmEHnXe	Last Night Lonely	Country		181990	9	FALSE	4MoAOfV4ROWofLG3a3hhBN	Jon Pardi	Capitol Nashville
5eWFD5xS2HWSvcHdn6FnWP	compilation	Happy Country Hits	8/19/2022	26	3jTVs5E8OxbH2ZOQTfa4tH	Last Night Lonely	Country		181990	7	FALSE	4MoAOfV4ROWofLG3a3hhBN	Jon Pardi	Capitol Nashville
0icVn143ZHkfbwbQRJ6xZO	compilation	Best Summer Songs: Hot Country	8/17/2022	30	66GEmD4Sb7xsp5nMnpWkkw	Last Night Lonely	Country		181990	3	FALSE	4MoAOfV4ROWofLG3a3hhBN	Jon Pardi	Capitol Nashville
3XgzAqjFk10Vyspx8c7OEm	single	Country On	7/1/2022	1	1tRxwf8Q0AcshfHuaD86Yt	Country On	Country		236455	72	FALSE	0BvkDsjIUla7X0k6CSWh1I	Luke Bryan	Capitol Nashville
49yfQ3mk1d5hhvUVSroZJv	compilation	Country USA	10/17/2022	20	6AHJTA1BN7ePfChCwqph3z	Country On	Country		236455	0	FALSE	0BvkDsjIUla7X0k6CSWh1I	Luke Bryan	Capitol Nashville
5cOcIJ0VmP65jq1Sa9PrJF	compilation	Country Barbecue	7/19/2022	50	1F9TAQ8yTc9b9HwlQpeqRT	Country On	Country		236455	26	FALSE	0BvkDsjIUla7X0k6CSWh1I	Luke Bryan	Capitol Nashville
2QciRFTxDee3AfiTTeFZCv	compilation	Summer Country Songs	7/19/2022	50	6fGBpQ3aQMK6H7Uapxd3lv	Country On	Country		236455	9	FALSE	0BvkDsjIUla7X0k6CSWh1I	Luke Bryan	Capitol Nashville
2lh3RvXn5aPLO9e6WtsVMf	compilation	The Music Event of Summer 2022	8/2/2022	50	5nzP3CcjAcEn3vTeUzyCcJ	Country On	Country		236455	2	FALSE	0BvkDsjIUla7X0k6CSWh1I	Luke Bryan	Capitol Nashville
0rvWuCar7YL3vYYG2v7Gw9	compilation	Classic Country Hits	8/31/2022	17	5FqKjY1olGaAHmz3vz38iz	Country On	Country		236455	2	FALSE	0BvkDsjIUla7X0k6CSWh1I	Luke Bryan	Capitol Nashville
6w0l7fLsiJTgVAgoxMzBIu	single	She Likes It feat. Jake Scott	11/5/2021	1	6VVqPBFZIbcmv14zNfOc13	She Likes It feat. Jake Scott			163311	76	FALSE	1E2AEtxaFaJtH0lO7kgNKw	Russell Dickerson	
3aZG6ZinA2CuavlDgSpQDR	single	Big Wheels	10/14/2022	3	5PcKoz1nRjaYxFOaPN8ahD	She Likes It feat. Jake Scott			163311	30	FALSE	1E2AEtxaFaJtH0lO7kgNKw	Russell Dickerson	
1wGuExpsgmoymARmzDdnfy	single	I Wonder	9/30/2022	2	3GycuI5Kfmk1XVeU6qZbBc	She Likes It feat. Jake Scott			163311	39	FALSE	1E2AEtxaFaJtH0lO7kgNKw	Russell Dickerson	
