,album_id,album_type,album_name,release_date,total_tracks,track_id,track_name,Genre,Language,duration_ms,popularity,is_explicit,artist_id,artist_name,Label
24,77gfgPyUiI1qDwlUxAMaew,compilation,Best Pop 2022,2022-09-14,20,2DVKX1UUZcAFOiQsq5YG8v,I Like You (A Happier Song),Pop-rap,,192840,12,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
25,19Um3yVZtJpLtP1ryAxNXh,compilation,August 2022 Hits,2022-07-27,32,3C2GgztpWnGADCkc2f8PJ2,I Like You (A Happier Song),Pop-rap,,192840,11,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
26,34TMhGhBraAXql56LN0L1Z,compilation,I Like You (A Happier Song),2022-09-23,22,50sxoCH5s4BQPYBeBhA7rh,I Like You (A Happier Song),Pop-rap,,192840,9,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
27,1Kst9aD41T5jKOEWwJwNNG,compilation,Mega Hits Summer 2022,2022-06-28,129,7asQklKAKf1mmEFec8geNF,I Like You (A Happier Song),Pop-rap,,192840,8,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
28,1ZfJoIH7xVP4DvFy2roaN9,compilation,Best of 2022,2022-10-04,24,0tduttxnG0AFq7TrH80zAk,I Like You (A Happier Song),Pop-rap,,192840,9,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
29,3gUZ3T4WAlztuFUoE2ae9O,compilation,Donaukanal Party,2022-06-30,55,5OFTuBHzqfPF55CQ4G2Vvx,I Like You (A Happier Song),Pop-rap,,192840,4,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
30,51OX8AKpWwJ1KV8NeNGJtJ,compilation,Fall Hits 2022,2022-07-12,30,2r2nxXTPNZwAir9MItyZIr,I Like You (A Happier Song),Pop-rap,,192840,6,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
31,1D7zTZcZSq5AYODyoWNpCR,compilation,Feelgood Pop 2022,2022-06-23,60,2ezTQhR1uij1Eh3rPepJoB,I Like You (A Happier Song),Pop-rap,,192840,11,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
32,5mbbmfczHTgC5YCZseIITr,compilation,Zomer Hits 2022 | Hittegolf,2022-08-22,24,3Dv0ia9gUwSmKb8CLiy73V,I Like You (A Happier Song),Pop-rap,,192840,7,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
33,79LUwZkPsEWCTkw40GwqMY,compilation,Best Hip Hop 2022,2022-09-16,20,1rx9ddlGiPXKA3iqVm92qc,I Like You (A Happier Song),Pop-rap,,192840,8,True,246dkjvS1zLTtiykXe5h60,Post Malone,"Republic, Mercury"
